year,st,state,pollib_median,innovatescore_boehmkeskinner,incshare_top1,hvd_4yr,inst6013_adacope,inst6014_nom,citi6013,wpid,wideo,pid,ideo,npid,mood,democrat,republican,liberal,conservative
2000,NY,New York,1.88545,0.033975001,28.079081,35.096699,36.745499,46.052101,60.582199,0.199837,-0.003585,0.206957,0.023643,1150,40.456001,39.095917,26.1119,23.918596,25.394651
2000,NC,North Carolina,-1.3846,0.144475,15.367811,41.8573,71.179199,79.472702,38.042,-0.018371999,-0.246902,0.007123,-0.22873899,702,34.886002,34.63298,32.672932,14.785635,34.046772
2000,ND,North Dakota,-1.3068,0.071529001,12.472742,57.335899,15.3653,26.066799,55.912102,-0.053574,-0.181962,-0.142857,-0.20689701,56,31.875999,25.552038,41.861439,13.231083,37.453075
2000,OH,Ohio,-0.054846,0.057032,14.301833,48.2253,8.5769196,24.3972,44.702999,0.044089001,-0.17853899,0.032393001,-0.160677,957,33.521999,32.618805,35.120258,17.992348,32.751122
2000,OK,Oklahoma,-0.763614,0.115516,15.152655,36.878502,27.348101,38.581402,22.673201,0.108074,-0.230381,0.080986001,-0.26449299,284,34.154999,33.293633,36.681732,13.483027,33.805252
2000,OR,Oregon,1.14584,0.14943101,17.624327,46.458199,50.852501,60.6464,52.3144,-0.006001,-0.126995,0.014981,-0.081784002,267,35.238998,29.188997,35.994484,19.315462,30.504513
2000,PA,Pennsylvania,0.4648,0.086579002,18.089165,33.5187,17.831499,28.694099,47.440399,0.069238,-0.198617,0.068793997,-0.163784,1003,40.301998,39.041492,33.670914,19.422144,28.194027
2000,RI,Rhode Island,1.7860399,0.099058002,18.955376,23.5236,73.333298,70.9123,77.256599,0.22305299,-0.025700999,0.21518999,-0.048780002,79,41.106998,36.67627,19.763182,24.679289,25.534924
2000,SC,South Carolina,-1.57815,0.076366,14.842917,22.806801,64.180603,61.907101,44.792099,0.010208,-0.19111601,-0.028302001,-0.18589699,318,35.936001,35.633495,30.645651,15.717324,32.880394
2000,SD,South Dakota,-1.00527,0.042268001,15.851741,44.499001,7.5,21.834801,39.043999,-0.114631,-0.313155,-0.016129,-0.25,62,32.362,27.601677,39.392422,13.672946,36.211681
2000,TN,Tennessee,-0.98361802,0.066049002,16.845825,28.9436,31.0154,42.0923,32.942402,0.084197998,-0.18919,0.085594997,-0.2,479,36.089001,33.341934,31.150597,15.365244,35.946827
2000,TX,Texas,-0.858567,0.120291,20.087959,22.892,22.5201,26.703899,39.897598,0.004032,-0.21779799,-0.009084,-0.221132,1321,31.750999,31.141697,33.781586,15.478812,33.086739
2000,UT,Utah,-1.0786,0.050694,16.668686,46.2159,2.4000001,17.934999,29.480499,-0.088381998,-0.163542,-0.18471301,-0.25324699,157,31.381001,23.08082,47.568886,14.071253,35.654461
2000,VT,Vermont,1.56634,0.066009,16.001696,56.6012,84.583702,85.748001,70.951698,-0.093229003,-0.026318001,-0.058823999,0.019608,51,39.859001,30.936712,26.290895,24.473404,27.509954
2000,VA,Virginia,-0.61244899,0.062176999,16.511717,30.0776,12.15,31.1665,37.871399,-0.017062001,-0.160989,-0.007194,-0.146568,556,36.07,31.391308,35.912296,15.349356,34.159233
2000,WA,Washington,0.96991998,0.14800601,24.67557,47.354099,56.780602,74.545403,38.7668,0.003718,-0.116095,0.022555999,-0.072682001,399,36.570999,29.302341,28.721567,19.945284,26.988562
2000,WV,West Virginia,0.238581,0.046222001,13.278086,39.4692,41.532799,55.123402,54.342999,0.33940101,-0.028608,0.28,0.013699,150,32.821999,36.312302,33.622875,15.249298,34.750446
2000,WI,Wisconsin,0.72140199,0.066559002,15.83262,38.921299,26.067101,19.3598,50.479801,0.071313001,-0.138043,0.059071999,-0.149068,474,36.200001,32.56971,31.266972,17.083141,35.292629
2000,WY,Wyoming,-1.00888,0.041889999,29.603094,29.4674,2.5,11.6791,23.789,-0.061081,-0.074885003,-0.096153997,-0.041666999,52,29.944,23.545153,45.89991,13.30863,36.304649
2001,AL,Alabama,-1.69646,0.059503999,14.749114,37.646099,70,83.073799,34.731899,-0.051507998,-0.24383201,-0.049773999,-0.24561401,221,39.326,35.809505,36.067318,20.004862,33.625568
2001,AK,Alaska,0.66327202,0.061464999,10.307052,45.652901,50.2617,50.811901,28.674601,-0.214073,-0.039882999,-0.20689701,-0.27272701,29,36.526001,25.134226,37.582924,12.512105,40.011318
2001,AZ,Arizona,-0.61547399,0.149362,15.835713,33.706699,20.125,16.7442,42.8437,-0.136777,-0.095188998,-0.103286,-0.040461998,213,44.456001,30.239462,35.185982,17.4226,33.648678
2001,AR,Arkansas,-1.7092299,0.120199,14.8857,25.3867,48,47.308701,49.7243,0.13224401,-0.27006301,0.160584,-0.20869599,137,39.293999,33.492943,33.829628,16.978746,33.433563
2001,CA,California,2.5472801,0.253333,20.079355,51.4002,92.5,89.253899,56.680099,0.11578,0.041854002,0.095728002,0.035941001,1264,42.530998,37.514454,29.130804,23.753531,26.760757
2001,CO,Colorado,-0.30199301,0.095334001,16.482624,53.619099,23.1236,21.157,39.813,0.003326,-0.078746997,-0.010582,-0.007092,189,38.75,29.074291,33.390335,20.068962,36.764439
2001,CT,Connecticut,1.76616,0.063486002,29.658026,37.382,58.641701,57.272499,64.423698,0.173337,0.048930999,0.19254699,0.023256,161,42.558998,33.076172,27.490076,19.950317,30.214458
2001,DE,Delaware,0.53394997,0.089014001,14.859956,33.030201,78.6875,65.364799,61.366001,0.356839,0.090507999,0.25641,0.076922998,39,70.633003,65.300034,10.014942,49.497726,13.986045
2001,FL,Florida,-0.55286098,0.113175,21.865179,28.1609,10.5667,15.7033,49.886299,0.065195002,-0.150428,0.041561998,-0.13628601,794,36.674,33.451557,33.970913,17.508074,33.070541
2001,GA,Georgia,-1.43964,0.100642,15.746388,24.0476,79.3004,76.646599,40.561798,-0.023311,-0.114883,-0.032940999,-0.174174,425,37.793999,30.99369,33.658646,17.354721,37.463867
2001,HI,Hawaii,1.60079,0.085419998,12.532031,45.157001,95.875,90.792099,82.505798,-0.048174001,-0.39175799,0,-0.347826,31,41.053001,37.182346,16.957478,23.310871,22.998852
2001,ID,Idaho,-1.00082,0.020644,13.143364,23.726601,9,12.4662,22.058201,-0.140687,-0.281598,-0.215385,-0.277778,65,33.422001,22.86281,46.017471,10.197807,44.917545
2001,IL,Illinois,0.385346,0.040773001,17.830652,26.604401,32.785999,34.5271,58.6502,0.072743997,-0.115671,0.054409001,-0.073563002,533,39.955002,35.639755,32.037346,17.451242,33.611042
2001,IN,Indiana,-0.30694899,0.123798,13.422707,28.535601,63.378601,55.348999,46.126701,-0.007465,-0.173979,-0.021212,-0.168,330,36.395,25.298199,41.606895,14.417092,38.815002
2001,IA,Iowa,0.34007099,0.02524,11.570921,43.2537,59.957001,57.694199,51.181499,0.091678001,-0.152602,0.098361,-0.133333,183,39.368,30.931505,32.808857,13.178847,35.301418
2001,KS,Kansas,-0.62424201,0.046447001,12.771862,38.029598,7,15.457,31.2262,-0.237681,-0.337666,-0.255034,-0.220183,149,34.700001,25.240185,39.561035,11.300953,41.254692
2001,KY,Kentucky,-0.421363,0.045418002,13.963819,37.612999,24.9321,55.116699,15.5949,0.13742501,-0.114413,0.15678,-0.13953499,236,36.533001,30.191839,42.482025,12.362154,37.061932
2001,LA,Louisiana,-0.97477603,0.155894,15.387743,25.517401,37.6875,46.9067,31.8433,0.224455,-0.206965,0.211982,-0.182353,217,39.998001,38.180286,31.766893,20.786757,35.052792
2001,ME,Maine,1.01888,0.23052301,14.056259,50.349602,76.276901,70.804398,71.6633,-0.033419002,0.041763999,0.034483001,0,116,40.370998,28.393257,29.352221,20.752512,33.127636
2001,MD,Maryland,1.54691,0.145,14.744472,38.0299,97.5,87.406898,67.570602,0.194631,-0.001846,0.2,-0.004831,285,42.544998,44.586224,25.895472,28.277197,27.183321
2001,MA,Massachusetts,1.74839,0.048443999,22.140152,16.726601,68.999702,71.838501,83.506699,0.22849,0.036862999,0.220065,0.104072,309,43.723,37.500942,18.333494,25.859331,23.619942
2001,MI,Michigan,0.390654,0.001623,13.812173,51.9016,16.561001,19.965099,58.167301,0.097351,-0.14010599,0.054767001,-0.125,493,40.695999,34.023956,30.518282,17.636585,33.348145
2001,MN,Minnesota,1.5082901,0.002747,15.16398,54.7509,56.887199,52.353802,56.389,0.18589699,-0.100762,0.13804699,-0.083333001,297,39.894001,27.175663,33.449329,17.069111,36.870068
2001,MS,Mississippi,-1.8943599,0.03655,14.557074,22.1015,71,74.204498,36.643299,-0.035673998,-0.221495,-0.013514,-0.190476,148,39.053001,35.76091,36.523434,18.117619,37.231316
2001,MO,Missouri,-0.076676004,0.086410001,15.337103,36.5588,26.302601,32.109402,46.772099,-0.040358,-0.106177,-0.067796998,-0.112108,295,40.426998,31.215429,33.707787,14.65004,36.39069
2001,MT,Montana,0.242834,0.040521,14.17652,38.332199,14.155,24.3727,49.8241,0.084660999,-0.126072,0.051724002,-0.069766998,58,36.542,23.595076,43.748631,10.861526,42.469635
2001,NE,Nebraska,-0.34952599,0.063781001,14.271648,39.240601,19.5875,28.354799,32.983898,-0.223161,-0.33520499,-0.211382,-0.30769199,123,36.137001,27.301332,41.602352,9.0631742,43.767849
2001,NV,Nevada,-0.230122,0.169312,23.680182,45.820499,37.6054,27.101299,52.066502,-0.044016,-0.31941599,-0.053762998,-0.305556,93,42.259998,32.516834,32.510956,20.036724,31.405296
2001,NH,New Hampshire,0.51304799,0.027003,15.594064,55.063202,53.329399,44.537498,42.1208,-0.094070002,-0.235651,-0.016393,-0.20454501,61,40.598,27.96545,30.988722,25.815386,33.938068
2001,NJ,New Jersey,2.08933,0.149672,20.289619,52.148102,50.232601,47.711899,65.769897,0.13716,-0.012358,0.095628001,0.01107,366,46.175999,31.863081,26.448959,17.04641,31.895071
2001,NM,New Mexico,0.152713,0.124096,17.522335,33.924801,51.3381,56.294899,54.321301,0.034497999,-0.239641,0.121622,-0.152542,74,40.317001,35.88512,29.061289,17.837479,31.698586
2001,NY,New York,1.93077,0.096735999,29.401712,33.8353,40.6577,45.9617,64.259697,0.18301199,-0.072915003,0.19143599,-0.021016,794,44.368999,39.07996,26.873051,21.216515,26.117847
2001,NC,North Carolina,-1.3927799,0.159004,13.74926,40.1432,84.953102,77.151001,47.023998,0.101562,-0.177415,0.095723003,-0.120879,491,36.167,38.946114,32.15414,15.48514,36.083073
2001,ND,North Dakota,-1.309,0.001252,11.655032,59.038399,18.3556,21.6523,61.3643,-0.156498,-0.347565,-0.159091,-0.35294101,44,35.657001,23.433966,40.97699,9.7886982,41.94577
2001,OH,Ohio,-0.091197997,0.024684001,13.606911,46.773998,13.4615,23.7488,48.647598,0.090489,-0.101169,0.030394999,-0.11691,658,38.659,31.994759,34.098701,20.308649,32.883511
