"","state","year","population"
"210","Georgia","2004",8769252
"211","Hawaii","2004",1273569
"212","Idaho","2004",1391802
"213","Illinois","2004",12589773
"214","Indiana","2004",6233007
"215","Iowa","2004",2953635
"216","Kansas","2004",2734373
"217","Kentucky","2004",4146101
"218","Louisiana","2004",4552238
"219","Maine","2004",1313688
"220","Maryland","2004",5546935
"221","Massachusetts","2004",6412281
"222","Michigan","2004",10055315
"223","Minnesota","2004",5087713
"224","Mississippi","2004",2889010
"225","Missouri","2004",5747741
"226","Montana","2004",930009
"227","Nebraska","2004",1749370
"228","Nevada","2004",2346222
"229","New Hampshire","2004",1290121
"230","New Jersey","2004",8634561
"231","New Mexico","2004",1903808
"232","New York","2004",19171567
"233","North Carolina","2004",8553152
"234","North Dakota","2004",644705
"235","Ohio","2004",11452251
"236","Oklahoma","2004",3525233
"237","Oregon","2004",3569463
"238","Pennsylvania","2004",12410722
"239","Rhode Island","2004",1074579
"240","South Carolina","2004",4210921
"241","South Dakota","2004",770396
"242","Tennessee","2004",5910809
"243","Texas","2004",22394023
"244","Utah","2004",2401580
"245","Vermont","2004",619920
"246","Virginia","2004",7475575
"247","Washington","2004",6178645
"248","West Virginia","2004",1816438
"249","Wisconsin","2004",5514026
"250","Wyoming","2004",509106
"251","Alabama","2005",4569805
"252","Alaska","2005",666946
"253","Arizona","2005",5839077
"254","Arkansas","2005",2781097
"255","California","2005",35827943
"256","Colorado","2005",4631888
"257","Connecticut","2005",3506956
"258","Delaware","2005",845150
"259","Florida","2005",17842038
"260","Georgia","2005",8925922
"261","Hawaii","2005",1292729
"262","Idaho","2005",1428241
"263","Illinois","2005",12609903
"264","Indiana","2005",6278616
"265","Iowa","2005",2964454
"266","Kansas","2005",2745299
"267","Kentucky","2005",4182742
"268","Louisiana","2005",4576628
"269","Maine","2005",1318787
"270","Maryland","2005",5592379
"271","Massachusetts","2005",6403290
"272","Michigan","2005",10051137
"273","Minnesota","2005",5119598
"274","Mississippi","2005",2905943
"275","Missouri","2005",5790300
"276","Montana","2005",940102
"277","Nebraska","2005",1761497
"278","Nevada","2005",2432143
"279","New Hampshire","2005",1298492
"280","New Jersey","2005",8651974
"281","New Mexico","2005",1932274
"282","New York","2005",19132610
"283","North Carolina","2005",8705407
"284","North Dakota","2005",646089
"285","Ohio","2005",11463320
"286","Oklahoma","2005",3548597
"287","Oregon","2005",3613202
"288","Pennsylvania","2005",12449990
"289","Rhode Island","2005",1067916
"290","South Carolina","2005",4270150
"291","South Dakota","2005",775493
"292","Tennessee","2005",5991057
"293","Texas","2005",22778123
"294","Utah","2005",2457719
"295","Vermont","2005",621215
"296","Virginia","2005",7577105
"297","Washington","2005",6257305
"298","West Virginia","2005",1820492
"299","Wisconsin","2005",5546166
"300","Wyoming","2005",514157
"301","Alabama","2006",4628981
"302","Alaska","2006",675302
"303","Arizona","2006",6029141
"304","Arkansas","2006",2821761
"305","California","2006",36021202
"306","Colorado","2006",4720423
"307","Connecticut","2006",3517460
"308","Delaware","2006",859268
"309","Florida","2006",18166990
"310","Georgia","2006",9155813
"311","Hawaii","2006",1309731
"312","Idaho","2006",1468669
"313","Illinois","2006",12643955
"314","Indiana","2006",6332669
"315","Iowa","2006",2982644
"316","Kansas","2006",2762931
"317","Kentucky","2006",4219239
"318","Louisiana","2006",4302665
"319","Maine","2006",1323619
"320","Maryland","2006",5627367
"321","Massachusetts","2006",6410084
"322","Michigan","2006",10036081
"323","Minnesota","2006",5163555
"324","Mississippi","2006",2904978
"325","Missouri","2006",5842704
"326","Montana","2006",952692
"327","Nebraska","2006",1772693
"328","Nevada","2006",2522658
"329","New Hampshire","2006",1308389
"330","New Jersey","2006",8661679
"331","New Mexico","2006",1962137
"332","New York","2006",19104631
"333","North Carolina","2006",8917270
"334","North Dakota","2006",649422
"335","Ohio","2006",11481213
"336","Oklahoma","2006",3594090
"337","Oregon","2006",3670883
"338","Pennsylvania","2006",12510809
"339","Rhode Island","2006",1063096
"340","South Carolina","2006",4357847
"341","South Dakota","2006",783033
"342","Tennessee","2006",6088766
"343","Texas","2006",23359580
"344","Utah","2006",2525507
"345","Vermont","2006",622892
"346","Virginia","2006",7673725
"347","Washington","2006",6370753
"348","West Virginia","2006",1827912
"349","Wisconsin","2006",5577655
"350","Wyoming","2006",522667
"351","Alabama","2007",4672840
"352","Alaska","2007",680300
"353","Arizona","2007",6167681
"354","Arkansas","2007",2848650
"355","California","2007",36250311
"356","Colorado","2007",4803868
"357","Connecticut","2007",3527270
"358","Delaware","2007",871749
"359","Florida","2007",18367842
"360","Georgia","2007",9349988
"361","Hawaii","2007",1315675
"362","Idaho","2007",1505105
"363","Illinois","2007",12695866
"364","Indiana","2007",6379599
